,mae,rmse,r2,predictions
XGBoost,0.18555108264568282,0.3991844620191991,0.861201614386405,"[1.3341006  0.9720344  1.8007863  2.287774   3.7098348  1.2217909
 1.1862133  1.3722278  2.3098202  1.4909388  1.165657   1.9057889
 2.6869156  3.491034   1.0800624  1.703568   2.0643735  1.7153809
 1.0183756  3.646824   3.919181   1.6094265  1.9778663  2.09179
 1.4912622  1.991913   1.3134838  0.9667507  1.8911383  0.9134624
 1.9918984  1.0843309  1.2798624  1.0574558  0.9585897  1.8226159
 0.78487515 1.3522176  1.8124187  1.9678607  4.6454697  2.192132
 1.5260743  1.9792888  1.9495225  1.7106591  2.2547896  0.97805303
 1.0967735  2.37175    1.591492   1.9296969  4.7127457  2.046405
 1.1057578  1.9833356  0.9585197  1.2499032  2.1221402  2.1019917
 1.7089984  1.0868968  5.294373   1.0816654  1.7459903  1.1224122
 1.0742608  1.8424199  2.1230507  1.7970992  0.7065362  1.2533484
 2.4857912  2.5266728  1.030895   4.527713   1.3921285  0.9594678
 1.0747461  5.0647683  1.5121425  3.7933047  4.755718   1.0857171
 0.88927585 0.9177309  1.3193336  1.3777586  1.0317644  0.73122627
 1.4211527  1.1775464  2.0366197  2.042869   2.028565   0.4402568
 1.7340145  3.3164783  1.5696638  1.0836736  0.9350345  1.1522785
 2.2201514  1.095096   1.1383731  1.1763391  4.408297   1.0947982
 0.95024127 0.7633319  3.5236208  4.1600285  2.2736998  1.4106034
 1.2232398  3.385344   1.459958   1.9901084  1.68097    1.4618077
 0.80874807 1.7739884  2.068434   2.2098262  1.22183    1.287604
 1.059772   1.6553531  1.2001117  3.5837746  0.68474674 1.4145124
 0.9494749  1.001557   1.1454695  1.2555346  1.0244097  0.82441187
 1.5671984  1.5255485  2.0380187  1.5239224  0.9100569  2.0878258
 2.1855521  1.9067653  1.4791027  2.8821616  1.5006843  1.1823125
 0.9423189  0.7555103 ]"
XGBoost_transformed,0.18558931613021884,0.3994642988118443,0.8610069449395812,"[1.3336263  0.97006863 1.7965528  2.2734802  3.6974974  1.2321763
 1.1910143  1.3759317  2.3108273  1.4893705  1.1825194  1.9083833
 2.686337   3.4932685  1.0698442  1.7060829  2.0641966  1.7265973
 1.01472    3.6450777  3.9255447  1.594361   1.982485   2.0852158
 1.4932944  1.9957309  1.317197   0.9523959  1.8862573  0.91119343
 1.9920468  1.0989759  1.2760564  1.0675198  0.96520287 1.8252649
 0.7727473  1.3528161  1.8093842  1.9663749  4.633029   2.194814
 1.52269    1.9760643  1.9637036  1.7060043  2.2517114  0.9629446
 1.098084   2.3772438  1.5982307  1.9214141  4.7022357  2.0598547
 1.11065    1.9852551  0.9599333  1.2577     2.110879   2.10748
 1.719381   1.0981838  5.2954803  1.0839759  1.755063   1.1188928
 1.0832173  1.8484257  2.1221619  1.7970139  0.6990565  1.2534693
 2.483758   2.525519   1.034434   4.516087   1.4014342  0.96243185
 1.0770922  5.063561   1.5126146  3.789183   4.731184   1.0887986
 0.89021254 0.92633307 1.3170558  1.3918196  1.0380535  0.73029083
 1.4201796  1.1730742  2.031468   2.0379887  2.0308945  0.43575805
 1.7367729  3.3122911  1.5654488  1.0860895  0.92769986 1.135233
 2.214578   1.0967277  1.1479452  1.182841   4.3935604  1.0898491
 0.95446503 0.762993   3.5258074  4.1618176  2.2721393  1.3967872
 1.228039   3.39262    1.4571906  1.989659   1.6720753  1.4599031
 0.8062176  1.7747788  2.0702083  2.206484   1.2276691  1.2858129
 1.0320735  1.6637292  1.2025334  3.5838575  0.68256193 1.4213845
 0.9404497  1.0125399  1.1393477  1.2616343  1.0233673  0.81479454
 1.5667132  1.5117278  2.042509   1.5117278  0.9049572  2.08388
 2.1957436  1.9061548  1.4791696  2.8818     1.5018291  1.1748563
 0.94028276 0.76047283]"
Random Forest,0.21111454591806295,0.449675210521819,0.8238693039280908,"[1.49184548 0.97178941 1.68772263 2.4036546  3.25500297 1.18711518
 1.11054695 1.31377547 2.10643017 1.56362018 1.24286399 1.8867743
 3.11350978 4.03605822 1.10316927 1.5915346  2.03916413 1.62170852
 1.0146591  3.7314647  3.76675998 2.35768713 2.06468043 2.08471686
 1.4580397  1.86005965 1.25163115 1.00038005 1.86938435 0.87978157
 2.06466852 1.26126166 1.26754498 1.01378428 1.46499746 1.78015303
 0.78712942 1.31878021 1.70476098 1.79632434 4.24791532 2.29161219
 1.70718687 1.96275928 2.12809848 1.54944926 2.17132934 0.98115296
 1.4114083  2.08494895 1.60809136 1.92071682 4.31121332 1.97814591
 1.02241599 2.00073233 0.96709517 1.21467625 2.26183986 1.64522004
 1.7620179  1.22282312 4.34231069 1.17557046 1.83394186 0.99987619
 1.10349762 1.82659216 2.04054554 1.6821757  0.78592806 1.56444374
 2.30522689 2.35971109 1.04837751 4.17590699 1.31572    0.91669117
 1.09730962 4.70587224 1.56181221 4.02283447 4.77832237 1.09440223
 0.90652022 0.91607938 1.42571619 1.18311361 1.07326147 0.91286349
 1.40757675 1.19137142 2.00162674 2.10586657 2.06180917 0.45454088
 1.76700765 3.72830608 1.60406363 1.17557046 0.97481791 1.17456598
 2.08526786 1.11380128 1.22546777 1.18051012 4.59159773 1.05935833
 0.99481738 0.86360291 4.09034352 3.66998812 2.12904148 1.40699713
 1.32686042 3.05359935 1.35949465 1.99380583 1.63729817 1.60725619
 0.83708354 1.78576202 1.98847731 2.14084791 1.30287118 1.24634776
 1.13445332 1.56631309 1.15826293 3.52725461 0.91294659 1.32560855
 0.96108633 1.06521162 1.20970685 1.19956612 1.02848207 0.8677996
 1.5389979  1.4948259  2.203485   1.42001851 0.86363064 2.06254904
 2.41976293 1.85698163 1.4203713  2.56106702 1.57255696 1.21307181
 0.95649986 0.89822001]"
Random Forest_transformed,0.21334627068604575,0.45148338035288954,0.8224499928118161,"[1.47767752 0.98031466 1.68002023 2.39185654 3.2532256  1.19973125
 1.10602954 1.31315732 2.11271055 1.5853297  1.25621239 1.87797375
 2.96231168 4.06891292 1.10535505 1.59367726 2.03726696 1.66106137
 1.01204192 3.71669788 3.73447756 2.35695632 2.08397228 2.08083832
 1.46404559 1.88541945 1.25852007 0.99105274 1.89300389 0.88282641
 2.07357361 1.24951905 1.29094596 1.01759502 1.45402843 1.77730732
 0.80646362 1.31962958 1.73291982 1.83716228 4.24462319 2.27412704
 1.72033129 1.91081848 2.1407145  1.5526536  2.17494126 0.98491987
 1.39002996 2.0537803  1.61434914 1.88091534 4.29891229 1.97420407
 1.00596278 2.02665524 0.96758764 1.22277421 2.26497603 1.60615124
 1.76856445 1.21897562 4.38294889 1.159775   1.86366857 0.99842868
 1.10214232 1.80888146 2.05095386 1.6712052  0.77905326 1.54882339
 2.28258229 2.35819267 1.03930706 4.22569356 1.30136654 0.91992012
 1.10272569 4.64845295 1.57748987 3.67591989 4.77425352 1.08984729
 0.90782451 0.90553605 1.44874071 1.19046568 1.07239305 0.923709
 1.38264934 1.19211704 2.02682631 2.10188731 2.05320608 0.46671919
 1.76860703 3.70506561 1.59784356 1.159775   0.99554041 1.19675027
 2.08170349 1.11132965 1.26410008 1.17555904 4.61426351 1.0550062
 1.03195607 0.86792127 4.1228167  3.66167795 2.12171058 1.40644012
 1.34722946 3.05816256 1.37847026 1.99479888 1.62931301 1.60862993
 0.83645086 1.78402672 2.00822832 2.13588066 1.27427155 1.24512931
 1.14027769 1.57149483 1.16295662 3.52222803 0.9240669  1.32406638
 0.96469039 1.06090001 1.22661746 1.22317316 1.02688529 0.86809062
 1.52713047 1.4962192  2.18495912 1.42257901 0.84124663 2.0649804
 2.42411402 1.86496934 1.42498467 2.55696811 1.59055961 1.19061704
 0.95727372 0.9118058 ]"
Gradient Boosting,0.23047130079744815,0.42904916191822234,0.8396565314208215,"[1.47951936 1.12331061 1.81897447 2.48059823 3.54202106 1.19359866
 1.16493771 1.19004002 2.14020423 1.48755015 1.28850027 1.82684689
 2.76598811 4.05299439 1.08789558 1.6231505  2.10100805 1.60236819
 1.11595038 3.70395606 3.51323057 2.58368581 1.9217321  2.13002928
 1.47669608 1.76246359 1.18285755 0.96515732 1.91167001 0.82541542
 1.96469981 1.24004863 1.30943257 1.17280191 1.45015193 1.6139276
 0.90162712 1.3633215  1.65186448 1.75310917 4.3176896  2.20560272
 1.70123654 1.82360642 2.09091834 1.54788885 2.03932654 1.08956502
 1.45235208 1.66650321 1.63477891 2.02708701 4.70306772 1.98125334
 1.18944411 1.95640792 0.91647113 1.18206961 2.34840493 1.47693878
 1.82366049 1.2545659  4.69202936 1.1108882  1.76246359 1.13770563
 1.15714835 1.71310274 1.86719223 1.74405442 0.7971541  1.66776142
 2.33031038 2.48882007 1.2274086  3.30317061 1.28512189 0.89001929
 1.24465541 4.59382358 1.49615894 3.73678588 4.96379626 0.9983267
 0.89733734 0.90641005 1.24161155 1.21208992 1.14579142 0.89097454
 1.24526692 1.2040483  1.93897352 1.90128396 2.10100805 0.52223279
 1.70863277 3.51047291 1.64774915 1.1108882  1.11380534 1.24005006
 2.01996488 1.12899628 1.16270195 1.09466391 4.70493763 1.05910106
 0.9575274  0.92471584 4.05299439 3.82871641 2.19550194 1.51067725
 1.42141354 3.25495766 1.26781404 1.9217321  1.43664136 1.65264546
 0.76370144 1.74189627 2.09849058 1.96023009 1.4123928  1.21806726
 1.09178001 1.6231505  1.14193496 3.46445369 0.9255719  1.13788628
 1.02743927 1.03151449 1.2511481  1.19911429 1.0812157  0.95496585
 1.41501946 1.511167   2.42507148 1.511167   0.83276433 1.92390947
 2.17503222 1.82249735 1.511167   2.7239336  1.46563857 1.37483028
 1.02788328 0.91272343]"
Gradient Boosting_transformed,0.23160633700387834,0.4308889963601375,0.8382784238352535,"[1.47951936 1.12331061 1.81897447 2.48059823 3.54202106 1.19359866
 1.16493771 1.19004002 2.14020423 1.48755015 1.28850027 1.82684689
 2.76598811 4.05299439 1.08789558 1.6231505  2.10100805 1.60236819
 1.11595038 3.70395606 3.51323057 2.58368581 1.9217321  2.13002928
 1.47669608 1.76246359 1.18285755 0.96515732 1.91167001 0.82541542
 1.96469981 1.24004863 1.30943257 1.17280191 1.45015193 1.6139276
 0.90162712 1.3633215  1.65186448 1.75310917 4.3176896  2.20560272
 1.70123654 1.82360642 2.09091834 1.54788885 2.03932654 1.08956502
 1.45235208 1.66650321 1.63477891 2.02708701 4.6375988  1.98125334
 1.18944411 1.95640792 0.91647113 1.18206961 2.34840493 1.50880157
 1.82366049 1.2545659  4.69202936 1.1108882  1.76246359 1.13770563
 1.15714835 1.71310274 1.86719223 1.74405442 0.7971541  1.66776142
 2.33031038 2.48882007 1.2274086  3.42344519 1.28512189 0.89001929
 1.24465541 4.64097407 1.49615894 3.73678588 4.89278836 0.9983267
 0.89733734 0.90641005 1.24161155 1.21208992 1.14579142 0.92111139
 1.24526692 1.2040483  1.93897352 1.90128396 2.10100805 0.52223279
 1.70863277 3.51047291 1.64774915 1.1108882  1.11380534 1.24005006
 2.01996488 1.12899628 1.16270195 1.09466391 4.70493763 1.05910106
 0.9575274  0.92471584 4.05299439 3.82871641 2.19550194 1.51067725
 1.42141354 3.25495766 1.26781404 1.9217321  1.43664136 1.65264546
 0.76370144 1.74189627 2.09849058 1.96023009 1.4123928  1.21806726
 1.09178001 1.6231505  1.14193496 3.46445369 0.9255719  1.13788628
 1.02743927 1.03151449 1.2511481  1.19911429 1.0812157  0.95496585
 1.41501946 1.511167   2.42507148 1.511167   0.83276433 1.92390947
 2.17503222 1.82249735 1.511167   2.7557964  1.46563857 1.37483028
 1.02788328 0.91272343]"
SVR,0.29883441372189495,0.6227628742931791,0.662182155147714,"[1.60243562 1.27335241 1.80843289 1.95913671 3.25079785 1.1522168
 1.06112301 1.20148402 2.04975037 1.22791517 1.30929528 1.77278806
 2.90607265 3.89827797 1.10301367 1.69383863 2.13042946 1.51100162
 1.11132599 3.17288797 3.86977836 3.05380536 1.87251525 1.90286554
 1.54850309 1.81924124 1.0943843  1.00038262 1.57262775 0.8403349
 2.0252357  1.2876537  1.36387394 1.18437155 0.9855617  1.79323675
 0.79174738 1.35950873 1.81829914 1.8418549  3.27712382 1.74254095
 1.63823535 1.85602622 2.11921143 1.66096698 2.1135446  1.10239831
 1.25871681 1.72090584 1.63964862 1.49986553 2.84500653 1.76567454
 1.21680888 2.01230291 0.85648787 1.18909916 2.32453242 1.43181405
 1.86943404 1.15589103 2.4794338  1.03753164 1.818481   1.05470679
 1.09552375 1.80345585 2.04743014 1.71112502 0.75610421 1.39962043
 1.86919261 2.45809088 1.24164006 2.19929142 1.22270515 0.92178869
 1.17045852 3.39815024 1.67879331 3.52850698 3.75786444 1.07960389
 0.9723075  0.88637094 1.17084837 1.07840348 1.11864016 1.18513161
 1.38279265 1.26544359 2.00647202 1.8665667  2.13068317 0.88199063
 1.74101472 3.57280756 1.67369187 0.911005   1.14491069 1.43442198
 1.97984797 1.12884125 1.06254177 1.20984771 4.23222109 1.04441303
 0.95357079 0.9217355  4.12093081 3.32841181 2.09804586 1.47589098
 1.38433087 3.30864271 1.38739427 1.8703056  1.47567927 1.65917958
 0.82967329 1.7367278  1.84167857 1.99634788 1.14845392 1.16327783
 1.01047506 1.69297658 1.12008882 3.54257144 1.79511632 1.33054896
 1.04903655 1.08794502 1.36835769 1.12096747 1.11855301 1.0898211
 1.57765653 1.43853639 2.14433086 1.43875394 0.76882201 1.96048507
 2.01148074 1.85373917 1.43747091 2.06434411 1.21850983 1.15173938
 1.03009205 1.18389754]"
SVR_transformed,0.28953490651130687,0.5827916333333755,0.7041553126600617,"[1.54638209 1.39931957 1.81540995 1.92447005 3.33169501 1.18356758
 1.08556074 1.2503038  2.12024809 1.276757   1.33775937 1.77184785
 2.86348803 4.09719726 1.08890066 1.62911586 2.12835816 1.53322538
 1.11167199 3.2715606  4.03375931 3.14871468 1.92984293 1.99978588
 1.54174996 1.83388295 1.09165863 0.97654149 1.60159583 0.89261934
 2.02905566 1.24669303 1.3836814  1.20136003 1.08139725 1.84312449
 0.73817197 1.37129441 1.96343306 1.97980725 3.54491894 1.75560508
 1.75362489 1.96340637 2.09255915 1.63828888 2.11653981 1.13766
 1.17773405 1.88948145 1.63562357 1.39198996 3.07339389 1.75948939
 1.25071007 2.00870713 0.85463088 1.20880683 2.35938404 1.55853717
 1.86380024 1.20421246 3.04633701 1.07206005 1.83265508 1.05425242
 1.03504439 1.85177349 2.11471878 1.68438084 0.73934061 1.26817939
 1.87223668 2.48003481 1.16064993 2.12458119 1.19830323 0.9086547
 1.16192933 3.53662424 1.66629744 3.26708774 3.83784368 1.0694236
 0.94231271 0.86504043 1.22649222 1.1323671  1.11970317 1.17888496
 1.42615374 1.30116981 2.00118084 1.86194709 2.12825605 0.78644341
 1.7042626  3.37500746 1.62140843 0.99905596 1.12235867 1.44134376
 2.01584529 1.1452976  1.09752341 1.18707613 4.0326382  1.06265198
 0.92850977 0.91305119 4.17527751 3.458585   2.10491638 1.44154838
 1.35604823 3.28310286 1.49132882 1.92633572 1.57150717 1.64728075
 0.79997626 1.71041167 1.87971098 1.95519552 1.21897996 1.20417497
 1.07163571 1.62559777 1.13492308 3.54216279 1.29274958 1.32983193
 1.03491126 1.07023843 1.42332174 1.11820535 1.12958055 1.05638474
 1.49368161 1.45317308 2.54138123 1.45379478 0.75150562 1.96092835
 2.1237885  1.86983288 1.45012997 2.28295247 1.28434934 1.22114175
 1.01546382 1.17803701]"
